stop_id,n_riders,avg_dwell_minutes,n_riders_with_home,n_riders_with_work,routes,address
stop_00000,246,9.263482384823847,243,241,17,Desert Blvd South & Blue Sky
stop_00001,24,14.979861111111111,24,24,69,Southside Rd & Santa Rosalia Ct
stop_00002,30,19.436666666666667,30,29,69,Southside Rd & Carranza Dr
stop_00003,121,20.074104683195593,121,116,69,Southside Rd & Corralitos Ave
stop_00004,36,23.925925925925927,36,36,43,Sun Valley Dr & Whitetail Dr
stop_00005,49,18.707142857142856,49,49,43,Sun Valley Dr & Antler Dr
stop_00006,81,11.748148148148148,80,79,43,Cross St & Deer Ave
stop_00007,972,20.41332304526749,961,930,43,6145 Quail Ave
stop_00008,1062,19.16854990583804,1046,996,43,6043 Quail Ave
stop_00009,113,14.7452802359882,112,112,43,Quail Ave & Matador St
stop_00010,59,13.359604519774011,58,59,43,10104 Pheasant Rd
stop_00011,24,15.118055555555555,24,24,43,10146 Pheasant Rd
stop_00012,92,22.04981884057971,91,91,53,Tierra Este & Tierra Grande
stop_00013,61,14.493715846994535,60,60,53,Tierra Este & Tierra Rica
stop_00014,405,42.385843621399175,404,396,53,Tierra Rica & Tierra Norte
stop_00015,46,11.594202898550725,45,46,53,Tierra Este & Tierra Bonita
stop_00016,63,15.178306878306879,62,63,53,Tierra Este & Tierra Robles
stop_00017,105,10.707460317460317,105,105,53,Charles R. Schulte & Zaragoza Rd
stop_00018,82,10.764227642276422,81,82,53,Sun Country Dr & Sun Fire Blvd
stop_00019,28,28.454761904761906,28,27,53,Sun Fire Blvd & Sun Terrace Ave
stop_00020,163,11.30521472392638,161,161,53,10635 Gateway West Blvd
stop_00021,122,11.55464480874317,121,119,36|57,2801 Harrison Ave
stop_00022,48,12.579861111111112,46,46,62,200 C R Croom Rd
stop_00023,77,12.47121212121212,77,74,24|62,362 Val Verde St
stop_00024,12,27.129166666666666,12,12,12,435 Mesa Hills Dr
stop_00025,232,12.616810344827586,232,231,52,3000 Nolan Richardson Dr
stop_00026,177,11.478060263653484,177,177,56,6966 Gateway East Blvd
stop_00027,22,15.536363636363637,22,21,11,614 Baltimore Dr
stop_00028,74,9.679954954954956,72,71,3,Socorro Rd & Oscar Alvarez Ct
stop_00029,78,10.98974358974359,77,78,13,1610 Mesa St
stop_00030,71,15.55680751173709,71,70,24,Comanche Ave & Tobin Pl
stop_00031,386,9.82754749568221,383,385,51|69,Edgemere Blvd & George Dieter Dr
stop_00032,58,10.65919540229885,58,58,51,Edgemere Blvd & Pendleton Rd
stop_00033,248,10.814112903225807,245,248,51,Edgemere Blvd & Lee Blvd
stop_00034,53,13.354716981132075,53,53,51,Edgemere Blvd & Jan De Roos
stop_00035,49,10.194557823129252,49,47,51,Edgemere Blvd & War Rose Pl
stop_00036,261,11.422733077905493,261,258,51,Edgemere Blvd & Nolan Richardson Dr
stop_00037,133,18.921929824561403,133,133,51,Edgemere Blvd & Tower Arms Dr
stop_00038,102,11.424673202614379,101,100,51,Edgemere Blvd & Banner Crest Dr
stop_00039,196,10.720408163265304,196,196,51,Edgemere Blvd & Tierra Zafiro Dr
stop_00040,725,20.769816091954024,717,705,51,Edgemere Blvd & Tierra Cobre Dr
stop_00041,88,12.29905303030303,88,88,51,Tierra Este Rd & Tierra Inca Dr
stop_00042,24,15.393749999999999,24,24,51,RC Poe Rd & Pablo Sanchez Pl
stop_00043,413,21.06077481840194,403,396,51,RC Poe Rd & Sammy Reece Pl
stop_00044,309,22.604908306364617,306,300,51,Edgemere Blvd & Tierra Roma
stop_00045,128,9.971354166666666,127,128,51,Edgemere Blvd & Tierra Angel Dr
stop_00046,147,11.380612244897959,147,145,51,Edgemere Blvd & Tierra Nevada Dr
stop_00047,109,9.053822629969419,109,108,51,12401 Edgemere Blvd
stop_00048,177,18.600282485875706,175,174,51,Edgemere Blvd & Tierra Cromo Rd
stop_00049,161,10.805383022774327,161,161,51,Edgemere Blvd & Mike Godwin Dr
stop_00050,64,10.300520833333334,64,64,51,Edgemere Blvd & Oxcart Run
stop_00051,5,7.736666666666666,5,5,84,Robin Rd & Stockyard Dr
stop_00052,32,11.925520833333334,32,32,84,Horizon Blvd & Robin Rd
stop_00053,16,9.45625,15,16,84,901 Horizon Blvd
stop_00054,87,12.518007662835249,87,87,84,657 Horizon Blvd
stop_00055,11,8.015151515151514,11,11,84,FM 1110 & Hansard Dr
stop_00056,19,11.758771929824562,19,19,84,405 FM 1110
stop_00057,61,15.81120218579235,60,61,84,FM 1110 & Campo Bello Dr
stop_00058,29,12.17183908045977,28,29,43,Kenworthy St & Folsom
stop_00059,48,12.424652777777778,48,48,43,9650 Kenworthy St
stop_00060,35,12.143809523809525,35,35,43,4651 Cohen
stop_00061,28,8.904166666666667,28,28,43,4641 Cohen
stop_00062,176,7.267708333333332,175,176,53,Montwood Dr & Sun Fire Blvd
stop_00063,36,9.844907407407408,36,35,53,Charles E. Schulte Dr & Sun Country Dr
stop_00064,85,8.616470588235293,85,85,22,401 Raynolds St
stop_00065,5693,10.276482815153113,5635,5591,7,North Loop Dr & Yarbrough Dr
stop_00066,219,9.77351598173516,217,217,50,Montana Ave & Robert E Lee Rd
stop_00067,1709,9.181597425394967,1697,1691,50,Montana Ave & Airway Blvd
stop_00068,113,10.105457227138643,113,112,50,Montana Ave & Brookhaven Dr
stop_00069,87,11.514750957854405,87,87,50,Montana Ave & Honeysuckle Dr
stop_00070,211,25.523933649289102,210,199,50,Montana Ave & Meadowview Dr
stop_00071,110,10.445454545454545,110,109,50,Montana Ave & Cessna Dr
stop_00072,203,12.7876026272578,200,200,50,1545 Hawkins Blvd
stop_00073,808,19.299917491749177,798,765,50,1500 Hawkins Blvd
stop_00074,112,15.09032738095238,112,110,50,1401 Hawkins Blvd
stop_00075,97,13.32147766323024,96,97,50,1300 Hawkins Blvd
stop_00076,1195,9.168270571827058,1191,1187,50,1200 Hawkins Blvd
stop_00077,1166,9.117124070897656,1161,1157,50,1201 Hawkins Blvd
stop_00078,239,12.046582984658299,238,235,7,8700 Viscount Blvd
stop_00079,162,16.0809670781893,162,158,7,8500 Viscount Blvd
stop_00080,1511,13.499139642620781,1483,1459,7,7700 Viscount Blvd
stop_00081,110,16.038939393939394,110,109,50,1400 Hawkins Blvd
stop_00082,3,6.355555555555555,3,3,50,Montana Ave & Centurion Dr
stop_00083,167,10.219061876247505,163,165,50,6593 Montana Ave
stop_00084,504,10.572255291005291,501,503,50,Montana Ave & Magruder St
stop_00085,235,9.378226950354609,235,235,50,Montana Ave & Glenwood St
stop_00086,290,9.648620689655171,290,290,50,Montana Ave & Trowbridge Dr
stop_00087,532,10.234617794486216,530,529,50,Montana Ave & Huckleberry St
stop_00088,50,10.516666666666667,50,50,50,Montana Ave & Houston St
stop_00089,110,16.197424242424244,109,109,50,Montana Ave & Travis St
stop_00090,74,12.522522522522522,73,73,50,Montana Ave & Luna St
stop_00091,141,15.745390070921985,141,139,33|50,3201 Hueco Ave
stop_00092,63,15.458201058201059,63,63,35,Yandell Dr & Maple St
stop_00093,126,11.732275132275133,126,126,35,Yandell Dr & Magnolia St
stop_00094,69,18.42270531400966,69,69,35,Yandell Dr & Palm St
stop_00095,59,21.772598870056495,59,59,35,Yandell Dr & Willow St
stop_00096,234,11.659116809116808,231,231,35,Yandell Dr & Cotton St
stop_00097,81,15.07962962962963,79,81,35,Yandell Dr & Dallas St
stop_00098,87,13.916091954022988,87,87,35,Yandell Dr & Langtry St
stop_00099,107,15.289719626168225,105,104,35,Yandell Dr & Octavia St
stop_00100,66,14.512878787878789,64,65,35,Yandell Dr & St Vrain St
stop_00101,154,11.057034632034632,149,146,14,500 Mesa St
stop_00102,124,10.336155913978494,122,119,11,700 Mesa St
stop_00103,142,6.758568075117371,139,132,11|23,914 Mesa St
stop_00104,1090,8.827033639143732,1009,986,11,1118 Mesa St
stop_00105,124,15.091397849462364,122,120,13,1300 Mesa St
stop_00106,140,14.740476190476189,133,132,13,1500 Mesa St
stop_00107,332,11.854267068273092,327,325,13,1800 Mesa St
stop_00108,4415,9.813174782936956,4354,4284,13,2200 Mesa St
stop_00109,658,9.83885511651469,652,652,13,2400 Mesa St
stop_00110,758,11.085290237467017,752,750,13,2606 Mesa St
stop_00111,1038,11.022896596017983,1030,1022,12,2800 Mesa St
stop_00112,178,12.261516853932585,177,177,12,3100 Mesa St
stop_00113,129,11.808397932816538,129,127,12,3300 Mesa St
stop_00114,325,14.006666666666668,324,324,12,3800 Mesa St
stop_00115,174,11.671072796934865,174,173,12,4108 Mesa St
stop_00116,455,9.277216117216117,453,450,12,4164 Mesa St
stop_00117,168,13.369047619047619,168,168,12,4400 Mesa St
stop_00118,138,14.885144927536233,137,135,12,4532 Mesa St
stop_00119,150,11.625111111111112,149,150,12|15,4646 Mesa St
stop_00120,155,12.178387096774195,153,153,12,4798 Mesa St
stop_00121,113,12.119911504424778,111,113,12,4900 Mesa St
stop_00122,1027,16.784323271665045,1016,996,12,5111 Mesa St
stop_00123,681,11.205775819872736,672,666,12,5360 Mesa St
stop_00124,78,9.8232905982906,78,78,12,5668 Mesa St
stop_00125,1027,10.111765660499838,1018,1016,13|15,5800 Mesa St
stop_00126,513,11.687751786874594,513,508,15,6020 Mesa St
stop_00127,1264,9.698905590717299,1254,1250,15,6100 Mesa St
stop_00128,800,10.886270833333333,795,794,15,6306 Mesa St
stop_00129,1699,14.45466941338042,1685,1659,15,6510 Mesa St
stop_00130,418,11.853628389154705,416,415,15,6600 Mesa St
stop_00131,865,9.492678227360308,860,857,15,6910 Mesa St
stop_00132,229,10.706186317321688,228,227,15,7100 Mesa St N
stop_00133,242,9.860055096418732,241,241,14,7420 Mesa St N
stop_00134,566,10.394552414605418,564,563,14,7500 Mesa St
stop_00135,1220,9.601543715846994,1214,1209,14,7600 Mesa St
stop_00136,519,9.970263326910725,516,517,14,7870 Mesa St
stop_00137,425,9.97443137254902,424,423,14,7575 Mesa St
stop_00138,181,10.006077348066297,181,180,14,7410 Mesa St
stop_00139,556,12.116306954436451,551,546,15,6545 Mesa St N
stop_00140,1230,13.705840108401086,1217,1194,15,6409 Mesa St
stop_00141,692,11.035573217726396,691,683,15,6019 Mesa St
stop_00142,140,11.232857142857142,139,138,15,5857 Mesa St
stop_00143,148,10.289076576576576,147,147,12,5700 Mesa St
stop_00144,237,12.660900140646975,236,236,12,5411 Mesa St
stop_00145,134,11.076616915422886,134,134,12,4700 Mesa St
stop_00146,343,13.900534499514091,342,340,12,3737 Mesa St
stop_00147,1002,10.962608117099135,995,987,12,2801 Mesa St
stop_00148,176,9.938257575757577,175,173,12,2600 Oregon St
stop_00149,209,16.246331738437004,206,206,12,2301 Oregon St
stop_00150,524,12.01071882951654,515,505,10|12,2100 Oregon St
stop_00151,600,12.240166666666667,570,580,10,1900 Oregon St
stop_00152,174,11.185632183908046,173,172,11,1600 Oregon St
stop_00153,104,16.04775641025641,96,95,11,1500 Oregon St
stop_00154,420,16.314047619047617,399,381,11,1401 Oregon St
stop_00155,315,10.275502645502645,300,291,11,1115 Oregon St
stop_00156,208,7.434455128205128,195,190,11,900 Oregon St
stop_00157,190,10.83201754385965,189,186,10|11,600 Oregon St
stop_00158,420,10.94234126984127,420,417,35,Dyer St & Rutherford Dr
stop_00159,399,11.009607351712614,397,394,35,Dyer St & Maxwell Ave
stop_00160,71,9.098826291079812,71,71,35,Dyer St & Moonlight Ave
stop_00161,678,11.405014749262538,675,672,35,8735 Dyer St
stop_00162,47,9.310283687943262,47,47,35,Dyer St & Arlen Dr
stop_00163,106,9.875157232704403,106,104,35,Dyer St & Sunrise Ave
stop_00164,131,9.149618320610687,131,130,35,Dyer St & Lawrence Ave
stop_00165,88,10.426325757575757,84,85,35,Dyer St & Edgar Park Ave
stop_00166,154,11.767965367965369,151,154,35,Dyer St & Ellerthorpe Ave
stop_00167,165,12.227575757575757,162,165,35,Dyer St & Leavell Ave/Flory
stop_00168,379,10.94547053649956,373,373,35,5700 Dyer St
stop_00169,1219,8.630092972381734,1211,1199,35,5501 Dyer St
stop_00170,299,10.282274247491639,298,298,35,Dyer St & Fred Wilson Ave
stop_00171,265,14.972704402515724,260,262,32,5017 Dyer St
stop_00172,755,13.1378587196468,746,728,35,Dyer St & Lincoln Ave
stop_00173,1165,16.4868669527897,1152,1115,35,Dyer St & Pierce Ave
stop_00174,1828,12.231044857768051,1812,1783,35,Dyer St & Taylor Ave
stop_00175,551,14.599516031457954,548,535,35,Dyer St & Tyler Ave
stop_00176,606,8.860203520352036,602,596,35,Dyer St & Jefferson Ave
stop_00177,202,11.977475247524751,201,200,35,Dyer St & Mc Kinley Ave
stop_00178,808,10.064645214521452,802,800,35,Dyer St & Tompkins Rd
stop_00179,88,12.821969696969695,88,88,35,Dyer St & Porter Ave
stop_00180,53,16.9251572327044,53,50,35,Sacramento Ave & Lackland St
stop_00181,45,22.919259259259256,45,45,35,Sacramento Ave & Russell St
stop_00182,52,14.086858974358973,52,52,35,Sacramento Ave & Copia St
stop_00183,62,12.158870967741937,59,61,35,Copia St & Mobile Ave
stop_00184,505,19.238415841584157,502,467,35,Copia St & Frankfort Ave
stop_00185,427,7.889617486338798,424,420,35,Copia St & Altura Ave
stop_00186,61,10.582513661202185,61,61,35,Copia St & Louisville Ave
stop_00187,65,10.598974358974358,64,64,35,Copia St & Aurora Ave
stop_00188,115,20.32072463768116,113,113,35,Copia St & Bisbee Ave
stop_00189,645,12.459560723514212,639,633,30|35,3601 Pershing Dr
stop_00190,1467,22.658373097023407,1449,1391,35,Copia St & Hueco Ave
stop_00191,928,9.18710488505747,920,920,35|50,Copia St & Montana Ave
stop_00192,258,11.535206718346254,256,254,35,Copia St & Yandell Dr
stop_00193,56,17.77113095238095,56,54,35,Yandell Dr & Grama St
stop_00194,72,15.543055555555554,72,71,35,Yandell Dr & Luna St
stop_00195,48,20.299652777777776,47,46,35,Yandell Dr & Cebada St
stop_00196,66,17.695454545454545,65,66,35,Yandell Dr & San Marcial St
stop_00197,37,13.21081081081081,37,37,35,Sacramento Ave & Byron St
stop_00198,54,14.33641975308642,54,53,35,Sacramento Ave & Stevens St
stop_00199,243,17.080727023319618,241,236,35,Sacramento Ave & Partello St
stop_00200,73,13.373744292237442,73,73,35,Dyer St & Idalia Ave
stop_00201,133,14.08170426065163,133,131,35,Dyer St & Fort Blvd
stop_00202,131,10.48613231552163,131,128,35,Dyer St & Mountain Ave
stop_00203,1683,9.568884927708456,1672,1659,35,Dyer St & Monroe Ave
stop_00204,972,13.682836076817559,956,953,35,Dyer St & Harrison Ave
stop_00205,106,11.121698113207549,105,105,1|51,2400 Mc Rae Blvd
stop_00206,75,15.209111111111111,74,75,1,2700 Mc Rae Blvd
stop_00207,37,9.37027027027027,37,37,1,2800 Mc Rae Blvd
stop_00208,52,14.201923076923077,52,52,51,3200 Mc Rae Blvd
stop_00209,72,15.604398148148148,71,71,51,10100 Edgemere Blvd
stop_00210,52,23.137500000000003,52,52,51,10500 Edgemere Blvd
stop_00211,58,11.398275862068965,57,58,51,10700 Edgemere Blvd
stop_00212,177,15.926647834274954,174,174,51,10865 Edgemere Blvd
stop_00213,449,8.729398663697104,447,445,51,10900 Edgemere Blvd
stop_00214,75,10.612666666666668,74,75,51,11000 Edgemere Blvd
stop_00215,101,16.023597359735973,101,100,51,11100 Edgemere Blvd
stop_00216,122,24.578688524590163,122,119,69,George Dieter Dr & Tenaha Ave
stop_00217,132,14.794444444444444,131,129,69,George Dieter Dr & Breckenridge Dr
stop_00218,368,10.90036231884058,368,367,50,6124 Montana Ave
stop_00219,1200,17.976166666666668,1184,1177,50,Montana Ave & El Portal Dr
stop_00220,367,9.788283378746595,363,364,61,1500 Texas Ave
stop_00221,100,13.473333333333333,100,100,61,1700 Texas Ave
stop_00222,97,13.262714776632302,94,95,61,1918 Texas Ave
stop_00223,108,16.270833333333332,108,108,61,2102 Texas Ave
stop_00224,94,11.70886524822695,94,94,61,2314 Alameda Ave
stop_00225,390,11.185726495726495,389,388,21,3222 Alameda Ave
stop_00226,692,14.101806358381504,680,667,50,4635 Montana Ave
stop_00227,147,18.8218820861678,147,145,21,3402 Alameda Ave
stop_00228,732,11.851229508196722,729,725,21,3600 Alameda Ave
stop_00229,277,12.28086642599278,275,275,21,3816 Alameda Ave
stop_00230,276,13.51207729468599,275,272,21,3902 Alameda Ave
stop_00231,311,11.476956055734192,306,297,21,4108 Alameda Ave
stop_00232,850,13.79007843137255,845,843,21,4230 Alameda Ave
stop_00233,89,11.058614232209738,89,89,21,4400 Alameda Ave
stop_00234,142,9.257863849765258,142,142,21,4606 Alameda Ave
stop_00235,194,11.108591065292096,193,194,21,4700 Alameda Ave
stop_00236,236,11.00614406779661,235,234,50,Montana Ave & Boone St
stop_00237,174,10.481992337164751,173,172,50,Montana Ave & Marr St
stop_00238,216,12.072685185185184,214,215,50,Montana Ave & Radford St
stop_00239,871,9.96777650210486,867,868,22|50,900 Chelsea St
stop_00240,1327,9.3976764632002,1320,1315,25,Montana Ave & Geronimo Dr
stop_00241,220,9.448712121212122,220,219,50,Montana Ave & Mescalero Dr
stop_00242,69,9.786473429951691,69,69,25,5000 Alameda Ave
stop_00243,826,9.23543179983858,824,821,37|50,Montana Ave & Isha Way
stop_00244,430,9.551821705426358,429,429,37|50,Montana Ave & Sioux Dr
stop_00245,444,10.921396396396398,439,438,23,5660 Alameda Ave
stop_00246,181,11.401381215469614,181,181,23|24,5800 Alameda Ave
stop_00247,135,10.414444444444445,135,134,23,6000 Alameda Ave
stop_00248,471,8.720346779900922,465,463,23,6100 Alameda Ave
stop_00249,69,13.497342995169081,69,68,23,6298 Alameda Ave
stop_00250,222,12.366216216216218,221,218,23,6400 Alameda Ave
stop_00251,96,13.22638888888889,96,93,23,6624 Alameda Ave
stop_00252,93,11.197849462365593,92,93,23,6808 Alameda Ave
stop_00253,260,10.525833333333333,257,259,61,7024 Alameda Ave
stop_00254,234,11.504131054131054,233,233,61,7050 Alameda Ave
stop_00255,100,12.9835,99,99,50|61,7090 Alameda Ave
stop_00256,285,9.698304093567252,282,284,61|62,100 George Orr Rd
stop_00257,363,8.35036730945822,362,362,50,1212 Hawkins Blvd
stop_00258,242,9.654201101928374,241,241,61,7145 Alameda Ave
stop_00259,102,12.894607843137255,102,102,61,7178 Alameda Ave
stop_00260,174,12.73295019157088,174,171,61,7198 Alameda Ave
stop_00261,296,14.41632882882883,293,292,61,7262 Alameda Ave
stop_00262,276,10.578381642512078,275,275,61,7303 Alameda Ave
stop_00263,325,13.769384615384617,323,322,61,7332 Alameda Ave
stop_00264,174,10.002681992337164,172,174,61,7360 Alameda Ave
stop_00265,492,10.588617886178863,486,484,12,4000 Mesa St
stop_00266,119,11.022689075630252,118,118,61,7526 Alameda Ave
stop_00267,233,11.767238912732475,232,232,61,7580 Alameda Ave
stop_00268,200,9.934333333333333,199,198,61,7624 Alameda Ave
stop_00269,414,11.293679549114332,414,408,61,7660 Alameda Ave
stop_00270,380,9.925087719298245,375,370,61,7694 Alameda Ave
stop_00271,185,14.132882882882884,184,185,61,7728 Alameda Ave
stop_00272,151,14.972847682119205,149,149,61,7904 Alameda Ave
stop_00273,1271,9.39993443482822,1264,1260,12,5400 Mesa St
stop_00274,66,15.74949494949495,65,65,61,7958 Alameda Ave
stop_00275,623,15.362172284644194,617,609,61,7988 Alameda Ave
stop_00276,137,10.918978102189781,137,137,14,7465 Mesa St
stop_00277,202,14.053877887788778,202,202,15,7133 Mesa St
stop_00278,355,12.434741784037557,350,352,12,5547 Mesa St
stop_00279,117,14.934188034188034,116,116,12,4503 Mesa St
stop_00280,267,12.076529338327092,267,264,12,4301 Mesa St
stop_00281,184,13.700634057971014,182,183,61,8064 Alameda Ave
stop_00282,1019,9.93361138370952,1017,1012,61,8116 Alameda Ave
stop_00283,108,12.13935185185185,108,108,3,8212 Alameda Ave
stop_00284,182,13.395879120879123,181,180,12,3233 Mesa St
stop_00285,97,13.466666666666667,97,96,3,8300 Alameda Ave
stop_00286,109,9.143272171253823,109,109,12,3333 Mesa St
stop_00287,64,9.622916666666667,64,63,3,Alameda Ave & Mc Elroy Ave
stop_00288,236,14.54470338983051,235,235,12,4045 Mesa St
stop_00289,126,11.160582010582011,126,124,3,8368 Alameda Ave
stop_00290,231,10.692063492063493,230,231,3,8406 Alameda Ave
stop_00291,669,11.669431988041854,668,662,12,4135 Mesa St
stop_00292,126,14.99021164021164,124,125,3,8450 Alameda Ave
stop_00293,122,13.775,122,121,3,8486 Alameda Ave
stop_00294,527,11.36821631878558,519,513,12,5375 Mesa St
stop_00295,1127,11.006935817805385,1117,1111,15,6101 Mesa St
stop_00296,638,11.066431556948798,633,627,15,6237 Mesa St
stop_00297,448,12.3421875,446,442,15,6633 Mesa St
stop_00298,45,12.790740740740741,43,40,25,5120 Alameda Ave
stop_00299,721,10.476514100785945,718,716,13,6955 Mesa St
